customer_id,tier,country
CUST-100,GOLD,DE
CUST-101,PLATINUM,DE
CUST-102,GOLD,BR
CUST-103,PLATINUM,BR
CUST-104,STANDARD,IN
CUST-105,GOLD,BR
CUST-106,STANDARD,IN
CUST-107,PLATINUM,IN
CUST-108,STANDARD,DE
CUST-109,PLATINUM,BR
CUST-110,PLATINUM,BR
CUST-111,PLATINUM,JP
CUST-112,STANDARD,BR
CUST-113,GOLD,US
CUST-114,GOLD,DE
CUST-115,PLATINUM,IN
CUST-116,GOLD,IN
CUST-117,GOLD,DE
CUST-118,STANDARD,BR
CUST-119,GOLD,BR
CUST-120,STANDARD,US
CUST-121,PLATINUM,IN
CUST-122,GOLD,DE
CUST-123,STANDARD,BR
CUST-124,STANDARD,DE
CUST-125,PLATINUM,IN
CUST-126,GOLD,US
CUST-127,GOLD,IN
CUST-128,STANDARD,IN
CUST-129,PLATINUM,BR
CUST-130,GOLD,BR
CUST-131,STANDARD,JP
CUST-132,GOLD,US
CUST-133,GOLD,DE
CUST-134,GOLD,BR
CUST-135,PLATINUM,US
CUST-136,PLATINUM,BR
CUST-137,STANDARD,US
CUST-138,STANDARD,US
CUST-139,PLATINUM,DE
CUST-140,STANDARD,JP
CUST-141,PLATINUM,DE
CUST-142,STANDARD,JP
CUST-143,STANDARD,US
CUST-144,STANDARD,DE
CUST-145,PLATINUM,JP
CUST-146,STANDARD,IN
CUST-147,PLATINUM,US
CUST-148,PLATINUM,US
CUST-149,PLATINUM,IN
CUST-150,STANDARD,US
CUST-151,STANDARD,DE
CUST-152,GOLD,JP
CUST-153,GOLD,JP
CUST-154,STANDARD,JP
CUST-155,GOLD,IN
CUST-156,PLATINUM,JP
CUST-157,STANDARD,US
CUST-158,STANDARD,US
CUST-159,STANDARD,BR
CUST-160,PLATINUM,BR
CUST-161,PLATINUM,US
CUST-162,GOLD,BR
CUST-163,PLATINUM,IN
CUST-164,STANDARD,IN
CUST-165,STANDARD,US
CUST-166,GOLD,JP
CUST-167,GOLD,JP
CUST-168,STANDARD,US
CUST-169,GOLD,DE
CUST-170,STANDARD,DE
CUST-171,PLATINUM,JP
CUST-172,STANDARD,IN
CUST-173,STANDARD,DE
CUST-174,GOLD,IN
CUST-175,PLATINUM,BR
CUST-176,STANDARD,DE
CUST-177,PLATINUM,US
CUST-178,PLATINUM,BR
CUST-179,STANDARD,JP
CUST-180,STANDARD,BR
CUST-181,PLATINUM,IN
CUST-182,PLATINUM,IN
CUST-183,PLATINUM,JP
CUST-184,STANDARD,BR
CUST-185,PLATINUM,DE
CUST-186,PLATINUM,DE
CUST-187,STANDARD,IN
CUST-188,PLATINUM,US
CUST-189,PLATINUM,BR
CUST-190,PLATINUM,BR
CUST-191,GOLD,BR
CUST-192,PLATINUM,IN
CUST-193,STANDARD,US
CUST-194,GOLD,US
CUST-195,PLATINUM,BR
CUST-196,GOLD,IN
CUST-197,GOLD,DE
CUST-198,STANDARD,DE
CUST-199,PLATINUM,IN
CUST-200,STANDARD,US
CUST-201,PLATINUM,IN
CUST-202,GOLD,JP
CUST-203,GOLD,BR
CUST-204,STANDARD,IN
CUST-205,STANDARD,BR
CUST-206,PLATINUM,BR
CUST-207,STANDARD,IN
CUST-208,GOLD,JP
CUST-209,PLATINUM,US
CUST-210,GOLD,DE
CUST-211,PLATINUM,JP
CUST-212,GOLD,IN
CUST-213,PLATINUM,IN
CUST-214,GOLD,JP
CUST-215,GOLD,IN
CUST-216,GOLD,JP
CUST-217,STANDARD,US
CUST-218,PLATINUM,BR
CUST-219,PLATINUM,IN
CUST-220,PLATINUM,BR
CUST-221,PLATINUM,IN
CUST-222,STANDARD,US
CUST-223,STANDARD,US
CUST-224,PLATINUM,BR
CUST-225,STANDARD,US
CUST-226,STANDARD,BR
CUST-227,GOLD,BR
CUST-228,PLATINUM,US
CUST-229,STANDARD,IN
CUST-230,STANDARD,BR
CUST-231,GOLD,DE
CUST-232,GOLD,JP
CUST-233,PLATINUM,BR
CUST-234,STANDARD,IN
CUST-235,PLATINUM,JP
CUST-236,STANDARD,BR
CUST-237,PLATINUM,JP
CUST-238,GOLD,BR
CUST-239,PLATINUM,DE
CUST-240,STANDARD,DE
CUST-241,STANDARD,DE
CUST-242,GOLD,DE
CUST-243,PLATINUM,BR
CUST-244,STANDARD,DE
CUST-245,STANDARD,JP
CUST-246,GOLD,US
CUST-247,PLATINUM,JP
CUST-248,PLATINUM,US
CUST-249,GOLD,IN
CUST-250,PLATINUM,US
CUST-251,STANDARD,DE
CUST-252,STANDARD,IN
CUST-253,GOLD,JP
CUST-254,GOLD,US
CUST-255,PLATINUM,IN
CUST-256,PLATINUM,BR
CUST-257,STANDARD,IN
CUST-258,STANDARD,IN
CUST-259,STANDARD,BR
CUST-260,STANDARD,DE
CUST-261,GOLD,JP
